u,v,length,name
288645752,3206673607,37.90029801116031,Calle La Haciendita
288645752,8857776695,32.52419607438562,Vía 408
288645752,288645755,170.74414685219563,Vía 408
288645755,288645762,89.69014039274188,Vía 408
288645755,288645752,170.74414685219563,Vía 408
288645755,510159384,107.39961172913205,Calle 0
288645761,510159378,51.03160752057912,Vía 408
288645761,288645762,80.71413420267767,Vía 408
288645761,3206673619,149.92549440338462,Avenida 2
288645761,8319006529,56.20740625636644,Calle 1
288645762,288645761,80.71413420267767,Vía 408
288645762,288645755,89.69014039274188,Vía 408
288645762,288645763,137.18176845311027,Avenida 2
288645762,288645760,67.08680780384154,Calle 0
288648965,3206673607,244.3301503625537,Calle La Haciendita
288648965,3206673653,249.14864421735555,Calle La Haciendita
288648965,510159384,92.64483863415266,Calle 0
288648965,12168418172,198.80277480575708,Calle La Pangola
288648988,10287845865,171.01925750827087,Calle La Haciendita
288648988,510159386,347.3484209214037,Vía 408
288648988,4223266077,167.73929636857147,Vía 408
288649000,510159386,92.99586492470083,Vía 408
288649000,288649081,2329.362334399385,Vía 408
288649000,11011810283,205.45533905733467,Sin nombre
288649081,288649000,2329.3623343993854,Vía 408
288649081,288649101,596.2112186489334,Vía 225
288649081,620163948,2149.8231521608286,Vía 225
457205632,5010295119,196.59826508491065,Vía 414
457205632,5010273125,104.33523208472216,Vía 414
457205632,5010273125,191.6491098353884,Calle Don Felipe
457205632,5010273138,184.0244530034866,Calle Tayutic
457205632,5010273184,307.74598935486995,Sin nombre
457205670,457205672,102.01154240742989,Vía 414
457205670,12165964428,856.1557723190211,Vía 414
457205670,5010306725,85.46814333580822,Calle San Joaquín
457205672,457205674,99.35744470039398,Vía 414
457205672,5010306734,84.23325861450218,Sin nombre
457205672,457205670,102.01154240742989,Vía 414
457205674,457205672,99.35744470039398,Vía 414
457205674,5010306409,101.9645470137657,Vía 414
457205674,5010344188,69.75739045575621,Calle Los Cipreses
510159373,3206673627,92.85946637686715,Vía 408
510159373,510159378,121.37992547865929,Vía 408
510159373,510159384,210.26820232260596,"['Avenida 1', 'Calle 3']"
510159378,288645761,51.03160752057912,Vía 408
510159378,3206673617,39.28276534024211,Calle 1
510159378,510159373,121.37992547865927,Vía 408
510159386,288649000,92.99586492470083,Vía 408
510159386,288648988,347.3484209214038,Vía 408
510159386,5797123375,1098.5943354452004,Calle San Joaquín
927081521,7122907940,95.75062664721752,Vía 414
927081521,5010531451,1769.19691830828,Vía 414
927081521,8863527522,766.0576723505609,Calle Piedra Redonda
927639075,5010421361,24.084073476913716,Vía 414
927639075,5010422531,1169.9935256228537,Calle Quetzal
927639075,5010422537,356.87884986848496,Vía 414
927639185,5010421361,2238.2753482172866,Vía 414
927639185,12166002349,3708.518577762928,Vía 414
927639185,927639355,2183.9751475393214,Sin nombre
3206673537,5790943159,18.271143615351775,Calle La Marta
3206673537,5496926618,812.2829685264765,Calle La Marta
3206673537,5979042185,2453.225114499722,Calle La Veintiseis
3206673543,3206673546,55.38602698204319,Calle Taque Taque Abajo
3206673543,7773956165,550.3030021933913,Calle Taque Taque Abajo
3206673543,3206673539,49.52642951795963,Calle Taque Taque Arriba
3206673546,3206673543,55.38602698204319,Calle Taque Taque Abajo
3206673546,3206673594,658.5585026517232,Calle Taque Taque Abajo
3206673546,7773979572,1207.5506744483648,Calle Miravalles
3206673577,3206673598,299.3152073073633,Calle La Ponciana
3206673577,8319010441,125.14734004214415,Calle La Marta
3206673577,3206673613,285.8632218227204,Calle La Marta
3206673592,3206673598,85.70248340871942,Sin nombre
3206673594,3206673546,658.5585026517232,Calle Taque Taque Abajo
3206673594,3206673615,205.48727055167203,Calle La Marta
3206673594,3206673606,335.36281204115215,"['Calle La Marta', 'Calle 1']"
3206673598,3206673592,85.70248340871942,Sin nombre
3206673598,3206673577,299.3152073073633,Calle La Ponciana
3206673598,5790358032,828.421839498496,Calle La Ponciana
3206673607,288645752,37.90029801116031,Calle La Haciendita
3206673607,288648965,244.3301503625537,Calle La Haciendita
3206673607,3206673630,344.1568251233261,Calle La Pangola
3206673613,5790358032,200.6631267387314,Calle La Ponciana
3206673613,3206673577,285.8632218227204,Calle La Marta
3206673613,3206673615,16.893565111844882,Calle La Marta
3206673615,5790358019,157.60428163001143,Calle Puente Tapado
3206673615,3206673613,16.893565111844882,Calle La Marta
3206673615,3206673594,205.48727055167203,Calle La Marta
3206673619,8857776698,30.188947647980406,Avenida 2
3206673619,288645761,149.92549440338462,Avenida 2
3206673619,3206673627,75.72912161821428,Calle 5
3206673625,8857776698,47.2618036545787,Avenida 2
3206673625,8857823810,51.91289732779839,Calle 7
3206673625,3206673629,54.44492664756102,Calle 7
3206673625,4223266079,89.17112261186502,"['Avenida 2', 'Calle 9']"
3206673627,4223266075,24.25768350638152,Vía 408
3206673627,3206673619,75.72912161821428,Calle 5
3206673627,510159373,92.85946637686715,Vía 408
3206673629,4223266079,53.88030359072797,Vía 408
3206673629,4223266075,49.18731848016939,Vía 408
3206673629,3206673625,54.44492664756102,Calle 7
3206673653,4223266074,66.28710564982781,Calle La Haciendita
3206673653,288648965,249.14864421735555,Calle La Haciendita
3206673653,5978982990,362.1223249399336,Calle La Trece
4223266074,3206673653,66.28710564982781,Calle La Haciendita
4223266074,4223266075,194.93789070750773,Calle Palo Negro
4223266074,10287845865,70.38813005419235,Calle La Haciendita
4223266075,3206673629,49.18731848016939,Vía 408
4223266075,3206673627,24.25768350638152,Vía 408
4223266075,4223266074,194.93789070750773,Calle Palo Negro
4223266076,4223266077,17.671915289216514,Vía 408
4223266076,12168489944,64.96480231781773,Calle Puente Tapado
4223266076,4223266079,110.51095171917044,Vía 408
4223266077,4223266076,17.671915289216514,Vía 408
4223266077,288648988,167.7392963685715,Vía 408
4223266077,12168489951,337.04562107204066,Calle Puente Tapado
4223266079,3206673629,53.88030359072797,Vía 408
4223266079,4223266076,110.51095171917044,Vía 408
4223266079,3206673625,89.17112261186502,"['Avenida 2', 'Calle 9']"
5010271815,5010273162,137.13840589363636,Vía 414
5010271815,5979497331,1338.224235604728,Vía 414
5010271815,5010272322,210.43266349515787,Calle San Antonio
5010272322,7732053015,1958.6175227814113,Calle Santa Rosa
5010272322,5010272352,954.2872395760271,Calle San Antonio
5010272322,5010271815,210.4326634951578,Calle San Antonio
5010272352,5010272391,99.30061251271124,Calle San Antonio
5010272352,5010272322,954.2872395760274,Calle San Antonio
5010272352,12165976009,686.8755747188193,Calle Los Venegas
5010272391,5010272402,177.2436981116337,Calle San Antonio
5010272391,5010272352,99.30061251271124,Calle San Antonio
5010272391,5010272397,306.0505723320656,Sin nombre
5010272397,5010272391,306.0505723320656,Sin nombre
5010272398,5010272402,40.65402908712794,Calle San Antonio
5010272398,5010272399,128.3859436159225,Sin nombre
5010272398,5010272400,168.83094631441446,Calle San Antonio
5010272399,5010272398,128.3859436159225,Sin nombre
5010272400,5010272401,89.91153608988972,Sin nombre
5010272400,7821323439,2650.7895801423942,Calle San Antonio
5010272400,5010272398,168.83094631441446,Calle San Antonio
5010272401,5010272400,89.91153608988972,Sin nombre
5010272402,5010272398,40.65402908712794,Calle San Antonio
5010272402,5010272403,116.867381727812,Sin nombre
5010272402,5010272391,177.2436981116337,Calle San Antonio
5010272403,5010272402,116.867381727812,Sin nombre
5010273125,5010273162,77.73630800074326,Vía 414
5010273125,457205632,104.33523208472216,Vía 414
5010273125,457205632,191.6491098353884,Calle Don Felipe
5010273162,5010273125,77.73630800074326,Vía 414
5010273162,5010271815,137.13840589363636,Vía 414
5010273162,5010273138,126.64380732183072,Calle Platanillo
5010295119,5010299188,597.9566035320604,Vía 414
5010295119,457205632,196.59826508491065,Vía 414
5010295119,12166858328,3167.576021327011,Calle Porvenir
5010299188,7732097827,626.1022008978359,Vía 414
5010299188,5010295119,597.9566035320604,Vía 414
5010299188,5010299239,1015.6730024735482,Calle Dulce Nombre
5010299239,5010299262,302.68334165597804,Calle Dulce Nombre
5010299239,5010299188,1015.6730024735484,Calle Dulce Nombre
5010299239,5010299261,511.6383369891396,Calle Río Dulce Nombre
5010299261,5010299239,511.63833698913953,Calle Río Dulce Nombre
5010299262,8863363940,1629.141337537408,Calle Dulce Nombre
5010299262,5010299239,302.6833416559779,Calle Dulce Nombre
5010299262,7732065739,531.3388373405643,Calle Muñoz
5010306409,5010343731,39.967206757175575,Vía 414
5010306409,457205674,101.96454701376568,Vía 414
5010306409,5010344132,48.95631551862555,Sin nombre
5010343731,5979518599,1559.4148894827733,Vía 414
5010343731,5010306409,39.967206757175575,Vía 414
5010343731,5010343738,191.49113764706416,Calle Monte Sión
5010421361,927639075,24.084073476913716,Vía 414
5010421361,927639185,2238.2753482172866,Vía 414
5010421361,5010421364,393.1624173987127,Calle Bajo Las Minas
5010421364,5010421361,393.1624173987127,Calle Bajo Las Minas
5010421364,5541379569,263.3708404552751,Calle Bajo Las Minas
5010421364,7785752805,1408.592099832917,Clle Cruz Bata
5010422353,5010430885,18.22428736647735,Vía 414
5010422353,8866713506,1230.682531821114,Vía 414
5010422353,5010422349,68.30871565499557,Vía 414
5010422531,927639075,1169.9935256228537,Calle Quetzal
5010422531,5010483204,1047.874887241795,Calle Quetzal
5010422531,5541379569,794.395681680783,Calle San Martín
5010422537,8866697575,324.6817539555033,Vía 414
5010422537,927639075,356.878849868485,Vía 414
5010422537,5010422542,365.20672552904904,Calle Universidad
5010422542,5010422537,365.20672552904904,Calle Universidad
5010430885,5010422353,18.22428736647735,Vía 414
5010430885,5010422349,75.03155548816629,Vía 414
5010430885,5010430910,685.9046304315382,Sin nombre
5010475456,8715789742,1103.9647889296107,Calle Carolina
5010483204,5541386555,192.94222740993985,Calle Quetzal
5010483204,5010422531,1047.874887241795,Calle Quetzal
5010483204,5541388242,526.8781928573911,Sin nombre
