osmid,x,y,name
288645752,-83.7050688,9.8109473,Ubicacion 288645752
288645755,-83.7038172,9.8118621,Ubicacion 288645755
288645761,-83.7027305,9.8117089,Ubicacion 288645761
288645762,-83.7032942,9.8112416,Ubicacion 288645762
288648965,-83.7046613,9.8134515,Ubicacion 288648965
288648988,-83.7001943,9.8154899,Ubicacion 288648988
288649000,-83.6992626,9.8185871,Ubicacion 288649000
288649081,-83.6894717,9.831031,Ubicacion 288649081
457205632,-83.557165,9.8232149,Ubicacion 457205632
457205670,-83.5788543,9.8394659,Ubicacion 457205670
457205672,-83.5797252,9.8397893,Ubicacion 457205672
457205674,-83.5806318,9.8398116,Ubicacion 457205674
510159373,-83.7026685,9.8128527,Ubicacion 510159373
510159378,-83.7030404,9.8120515,Ubicacion 510159378
510159386,-83.7000797,9.8183608,Ubicacion 510159386
927081521,-83.5047385,9.8252975,Ubicacion 927081521
927639075,-83.456882,9.8171103,Ubicacion 927639075
927639185,-83.4703113,9.82899,Ubicacion 927639185
3206673537,-83.6950253,9.8055566,Ubicacion 3206673537
3206673543,-83.7042448,9.8063055,Ubicacion 3206673543
3206673546,-83.7037833,9.8065081,Ubicacion 3206673546
3206673577,-83.6967926,9.8096306,Ubicacion 3206673577
3206673592,-83.6940608,9.8105267,Ubicacion 3206673592
3206673594,-83.6994746,9.8105851,Ubicacion 3206673594
3206673598,-83.69478,9.8108297,Ubicacion 3206673598
3206673607,-83.7050381,9.8112868,Ubicacion 3206673607
3206673613,-83.6980993,9.8118393,Ubicacion 3206673613
3206673615,-83.6982109,9.8119322,Ubicacion 3206673615
3206673619,-83.7016657,9.8125557,Ubicacion 3206673619
3206673625,-83.7010931,9.8129635,Ubicacion 3206673625
3206673627,-83.7019023,9.8131956,Ubicacion 3206673627
3206673629,-83.701272,9.8134203,Ubicacion 3206673629
3206673653,-83.702855,9.8146412,Ubicacion 3206673653
4223266074,-83.7023148,9.8149096,Ubicacion 4223266074
4223266075,-83.7016931,9.813267,Ubicacion 4223266075
