name,lat,lon,nearest_node
Cinépolis Terramall,9.9017269,-83.9959733,272786401
Escuela Taus,9.7856339,-83.7177537,3206673442
Gasolinera Hnos Orozco,9.9029396,-83.6816286,1430564012
Iglesia de Camusa,9.9157444,-83.6919201,560112022
Servicentro Corazón de Jesús,9.8897543,-83.8849356,1182431982
Iglesia de Humo,9.8016554,-83.7159169,510159398
Ebais San Juan - Montufar,9.901344,-84.0038517,277832038
Banco Nacional,9.9088428,-84.0069417,276540039
Ebais Concepción Norte,9.9217977,-83.9954678,660942677
Bar Magnolia,9.9216769,-83.9803549,278193706
Ebais Villas de Ayarco,9.9022001,-84.0115261,628238174
Iglesia de Salitrillos,9.9183735,-83.990944,418105082
Bar Fili San Diego,9.9023636,-83.9992495,272786435
Spoon,9.9020536,-83.9959795,272786401
Alcohólicos Anónimos (Antigua Guardia Rural),9.9007836,-84.0019967,163410954
Delegación San Juan,9.9059152,-84.0077739,277828954
Capilla - Santa Teresita,9.8412973,-83.9321535,663406163
Capilla - Villa Francisca,9.8485017,-83.9320498,582995509
Farmacia - Villa Real,9.8441774,-83.9365011,663406178
El condor,9.8463935,-83.9371094,491588599
Farmacia Interamericana Sur,9.8448,-83.9374932,472374725
Otero's Pizza,9.8618314,-83.9236369,450502968
Kanalú,9.8624287,-83.9234921,450502967
Sanchiri Lodge,9.8172725,-83.8658882,1834549541
Bar Pelon,9.7843909,-84.0745185,3973275963
Bar Santa Elena,9.771637,-84.0532898,778789520
Maragato,9.800684,-84.073448,11021765568
Donde piña,9.7767642,-84.0555012,778789414
Iglesia de San Antonio,9.7824202,-84.0471583,6702012316
Banco Nacional,9.7912123,-84.0672845,3855774273
Restaurante El Pez Dorado,9.8669454,-83.9374597,472374826
Bar y Restaurante Nueva Costa,9.8432501,-83.9019672,835668013
Pollos Santa Lucía,9.8398943,-83.8804877,2939400511
Delegación Policial Llanos de Santa Lucía,9.8402854,-83.877159,288590551
Centro Médico Santa Lucía,9.838742,-83.8770652,1834549804
Restaurante El Ranchito,9.8070433,-83.8670595,288592574
Soda el Potrerito,9.8082908,-83.8667805,12207173717
Soda La Luz,9.7986096,-83.854752,832384377
Bar La Mosca,9.784121,-83.8448653,10964530590
Iglesia de Jucó,9.7787418,-83.8489521,2376390796
Bar y Restaurante La Marina,9.77739,-83.843264,288597866
Iglesia Rio Macho,9.7766157,-83.8404679,288612237
Marisquería El Puente,9.781733,-83.8374424,2145847957
g,9.7864853,-83.839997,365302198
Iglesia de Palomo,9.7887737,-83.8405125,365302201
Bar y Restaurante Brisas del Rio,9.8005467,-83.8501143,832407682
Iglesia de Loaiza,9.8131778,-83.8235952,9448254372
Delegación Policial Cachí,9.8260065,-83.8026969,835667797
Bar Cortés,9.8264251,-83.8033133,835667891
Bar y Restaurante Robin Murray,9.8257655,-83.8037692,835667746
Bar La Orquidea,9.8314059,-83.8041213,3331092849
Soda La Minita,9.8384287,-83.8019151,566549456
Parada de autobus,9.8381413,-83.8016042,10974024308
Bar y Restaurante Taquita,9.8377802,-83.8143835,832410001
Soda La Minita,9.8337363,-83.8317668,332472805
Bar Brisas,9.8475796,-83.8480908,1718611958
Bar y Restaurante Rancho Azul,9.8478726,-83.8447684,832409965
Sala de Juegos Paraiso,9.8451586,-83.8628763,1718611506
Clínica Especialidades Dentales,9.84242,-83.87164,582997333
Iglesia de El Poró,9.9144381,-83.6926923,5809534393
Farmacia Tambor,9.7964388,-83.853879,288596376
Bar San Bosco,9.8955318,-84.0375686,418106247
Bar Rest. Rio Azul,9.886716,-84.03163,448804989
Tintos y Blancos,9.9021041,-83.9961974,299756688
BAC Credomatic,9.9016332,-83.9969548,272752924
Kekafe,9.9003253,-83.6724808,479493843
EBAIS de Guadalupe,9.8630329,-83.9339858,479421212
